Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m61c1phw1;1;61;windows;1;964;27978;
m61c1phw9;1;61;windows;9;1669;192473;
m61c2phw1;2;61;windows;1;1016;19903;
m61c2phw9;2;61;windows;9;1701;119073;
m61c4phw1;4;61;windows;1;974;18074;
m61c4phw9;4;61;windows;9;1658;87759;
m61c6phw1;6;61;windows;1;961;17702;
m61c6phw9;6;61;windows;9;1672;75336;
m61c8phw1;8;61;windows;1;998;17620;
m61c8phw9;8;61;windows;9;1649;69228;
m61c10phw1;10;61;windows;1;929;17971;
m61c10phw9;10;61;windows;9;1621;67454;
m61c12phw1;12;61;windows;1;971;18016;
m61c12phw9;12;61;windows;9;1701;67981;
m61c1phw1;1;61;windows;1;986;28384;
m61c1phw9;1;61;windows;9;1638;194189;
m61c2phw1;2;61;windows;1;967;20130;
m61c2phw9;2;61;windows;9;1649;120343;
m61c4phw1;4;61;windows;1;1027;18450;
m61c4phw9;4;61;windows;9;1607;88120;
m61c6phw1;6;61;windows;1;1000;17816;
m61c6phw9;6;61;windows;9;1656;74853;
m61c8phw1;8;61;windows;1;986;18114;
m61c8phw9;8;61;windows;9;1538;68924;
m61c10phw1;10;61;windows;1;910;17944;
m61c10phw9;10;61;windows;9;1663;67508;
m61c12phw1;12;61;windows;1;1070;18807;
m61c12phw9;12;61;windows;9;1671;68392;
m61c1phw1;1;61;windows;1;1035;27860;
m61c1phw9;1;61;windows;9;1544;194644;
m61c2phw1;2;61;windows;1;1045;19496;
m61c2phw9;2;61;windows;9;1532;119371;
m61c4phw1;4;61;windows;1;950;17866;
m61c4phw9;4;61;windows;9;1580;87886;
m61c6phw1;6;61;windows;1;887;17598;
m61c6phw9;6;61;windows;9;1660;74793;
m61c8phw1;8;61;windows;1;998;17626;
m61c8phw9;8;61;windows;9;1627;69540;
m61c10phw1;10;61;windows;1;950;18057;
m61c10phw9;10;61;windows;9;1640;67483;
m61c12phw1;12;61;windows;1;972;18669;
m61c12phw9;12;61;windows;9;1615;67575;
m61c1phw1;1;61;windows;1;949;27970;
m61c1phw9;1;61;windows;9;1771;195817;
m61c2phw1;2;61;windows;1;993;19925;
m61c2phw9;2;61;windows;9;1705;119537;
m61c4phw1;4;61;windows;1;968;17770;
m61c4phw9;4;61;windows;9;1666;88019;
m61c6phw1;6;61;windows;1;1020;18365;
m61c6phw9;6;61;windows;9;1586;74982;
m61c8phw1;8;61;windows;1;996;18674;
m61c8phw9;8;61;windows;9;1613;68840;
m61c10phw1;10;61;windows;1;1027;18302;
m61c10phw9;10;61;windows;9;1716;67988;
m61c12phw1;12;61;windows;1;969;18670;
m61c12phw9;12;61;windows;9;1572;67365;
m61c1phw1;1;61;windows;1;970;28312;
m61c1phw9;1;61;windows;9;1728;193485;
m61c2phw1;2;61;windows;1;1006;19618;
m61c2phw9;2;61;windows;9;1653;119768;
m61c4phw1;4;61;windows;1;937;18209;
m61c4phw9;4;61;windows;9;1673;87638;
m61c6phw1;6;61;windows;1;1005;17969;
m61c6phw9;6;61;windows;9;1650;73954;
m61c8phw1;8;61;windows;1;918;17649;
m61c8phw9;8;61;windows;9;1667;69023;
m61c10phw1;10;61;windows;1;935;18240;
m61c10phw9;10;61;windows;9;1631;67158;
m61c12phw1;12;61;windows;1;970;18486;
m61c12phw9;12;61;windows;9;1551;67563;
m53c1phd1;1;53;doors;1;933;12561;
m53c1phd9;1;53;doors;9;1293;26399;
m53c2phd1;2;53;doors;1;904;10362;
m53c2phd9;2;53;doors;9;1353;17910;
m53c4phd1;4;53;doors;1;886;10038;
m53c4phd9;4;53;doors;9;1335;14134;
m53c6phd1;6;53;doors;1;864;10072;
m53c6phd9;6;53;doors;9;1314;12499;
m53c8phd1;8;53;doors;1;937;10770;
m53c8phd9;8;53;doors;9;1307;12938;
m53c10phd1;10;53;doors;1;910;11434;
m53c10phd9;10;53;doors;9;1408;13287;
m53c12phd1;12;53;doors;1;871;11024;
m53c12phd9;12;53;doors;9;1428;12932;
m53c1phd1;1;53;doors;1;906;12245;
