Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m13c12phd1;12;13;doors;1;532;6596;
m13c12phd5;12;13;doors;5;673;0;Some surface was not produced
m13c12phd9;12;13;doors;9;742;6153;
m21c12phd1;12;21;doors;1;624;8146;
m21c12phd5;12;21;doors;5;751;7364;
m21c12phd9;12;21;doors;9;846;7215;
m29c12phd1;12;29;doors;1;636;7001;
m29c12phd5;12;29;doors;5;791;9107;
m29c12phd9;12;29;doors;9;939;8468;
m37c12phd1;12;37;doors;1;661;6234;
m37c12phd5;12;37;doors;5;735;7752;
m37c12phd9;12;37;doors;9;921;8883;
m45c12phd1;12;45;doors;1;705;11360;
m45c12phd5;12;45;doors;5;977;71406;
m45c12phd9;12;45;doors;9;1297;0;Solver: Error: Server error: Internal Server Error
m45c12phd5;12;45;doors;5;952;69570;
m53c12phd1;12;53;doors;1;932;10713;
m53c12phd5;12;53;doors;5;1117;12747;
m53c12phd9;12;53;doors;9;1329;12785;
m61c12phd1;12;61;doors;1;1143;15150;
m61c12phd5;12;61;doors;5;1366;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1743;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;575;6890;
m13c12phd5;12;13;doors;5;669;7316;
m13c12phd9;12;13;doors;9;807;6094;
m21c12phd1;12;21;doors;1;563;7808;
m21c12phd5;12;21;doors;5;763;7412;
m21c12phd9;12;21;doors;9;821;6772;
m29c12phd1;12;29;doors;1;610;6821;
m29c12phd5;12;29;doors;5;755;9186;
m29c12phd9;12;29;doors;9;966;8520;
m37c12phd1;12;37;doors;1;670;6290;
m37c12phd5;12;37;doors;5;791;7372;
m37c12phd9;12;37;doors;9;957;9231;
m45c12phd1;12;45;doors;1;742;11578;
m45c12phd5;12;45;doors;5;1006;71595;
m45c12phd9;12;45;doors;9;1164;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;867;10655;
m53c12phd5;12;53;doors;5;1168;11602;
m53c12phd9;12;53;doors;9;1353;13181;
m61c12phd1;12;61;doors;1;1126;15406;
m61c12phd5;12;61;doors;5;1322;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1744;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;641;6965;
m13c12phd5;12;13;doors;5;690;7501;
m13c12phd9;12;13;doors;9;778;6278;
m21c12phd1;12;21;doors;1;682;8413;
m21c12phd5;12;21;doors;5;764;7371;
m21c12phd9;12;21;doors;9;899;6938;
m29c12phd1;12;29;doors;1;638;8322;
m29c12phd5;12;29;doors;5;794;8830;
m29c12phd9;12;29;doors;9;906;9550;
m37c12phd1;12;37;doors;1;777;6856;
m37c12phd5;12;37;doors;5;821;8391;
m37c12phd9;12;37;doors;9;965;8730;
m45c12phd1;12;45;doors;1;776;11814;
m45c12phd5;12;45;doors;5;1010;71406;
m45c12phd9;12;45;doors;9;1184;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;935;11275;
m53c12phd5;12;53;doors;5;1114;11657;
m53c12phd9;12;53;doors;9;1356;12927;
m61c12phd1;12;61;doors;1;1144;15210;
m61c12phd5;12;61;doors;5;1442;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1835;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;498;6767;
m13c12phd5;12;13;doors;5;669;7482;
m13c12phd9;12;13;doors;9;785;6265;
m21c12phd1;12;21;doors;1;640;8599;
m21c12phd5;12;21;doors;5;775;7347;
m21c12phd9;12;21;doors;9;861;6699;
m29c12phd1;12;29;doors;1;635;7991;
m29c12phd5;12;29;doors;5;802;8828;
m29c12phd9;12;29;doors;9;1006;8968;
m37c12phd1;12;37;doors;1;631;6983;
m37c12phd5;12;37;doors;5;790;8711;
m37c12phd9;12;37;doors;9;911;9042;
m45c12phd1;12;45;doors;1;799;11183;
m45c12phd5;12;45;doors;5;983;70626;
m45c12phd9;12;45;doors;9;1162;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;950;10971;
m53c12phd5;12;53;doors;5;1054;12785;
m53c12phd9;12;53;doors;9;1262;12706;
m61c12phd1;12;61;doors;1;1063;15464;
m61c12phd5;12;61;doors;5;1446;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1594;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;565;5813;
m13c12phd5;12;13;doors;5;593;6302;
m13c12phd9;12;13;doors;9;789;7017;
m21c12phd1;12;21;doors;1;630;6856;
m21c12phd5;12;21;doors;5;694;6230;
m21c12phd9;12;21;doors;9;894;7619;
m29c12phd1;12;29;doors;1;631;7882;
m29c12phd5;12;29;doors;5;780;9442;
m29c12phd9;12;29;doors;9;872;9298;
m37c12phd1;12;37;doors;1;686;7784;
m37c12phd5;12;37;doors;5;759;7837;
m37c12phd9;12;37;doors;9;982;8527;
m45c12phd1;12;45;doors;1;794;11455;
m45c12phd5;12;45;doors;5;1020;69690;
m45c12phd9;12;45;doors;9;1206;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;877;11051;
m53c12phd5;12;53;doors;5;1146;12017;
m53c12phd9;12;53;doors;9;1395;13229;
m61c12phd1;12;61;doors;1;1187;15375;
m61c12phd5;12;61;doors;5;1437;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1669;0;Solver: Error: Server error: Internal Server Error
m13c12pha1;12;13;acs;1;653;48042;
m13c12pha9;12;13;acs;9;1133;51020;
m21c12pha1;12;21;acs;1;650;49274;
m21c12pha9;12;21;acs;9;1183;54031;
m29c12pha1;12;29;acs;1;662;51369;
m29c12pha9;12;29;acs;9;1324;58002;
m37c12pha1;12;37;acs;1;703;60939;
m37c12pha9;12;37;acs;9;1349;68160;
m45c12pha1;12;45;acs;1;776;76272;
m45c12pha9;12;45;acs;9;1672;101213;
m13c12pha1;12;13;acs;1;610;47383;
m13c12pha9;12;13;acs;9;1104;50996;
m21c12pha1;12;21;acs;1;511;49413;
m21c12pha9;12;21;acs;9;1163;54868;
m29c12pha1;12;29;acs;1;691;51742;
m29c12pha9;12;29;acs;9;1344;57570;
m37c12pha1;12;37;acs;1;691;60252;
m37c12pha9;12;37;acs;9;1396;69414;
m45c12pha1;12;45;acs;1;804;76210;
m45c12pha9;12;45;acs;9;1775;102506;
m13c12pha1;12;13;acs;1;625;48383;
m13c12pha9;12;13;acs;9;1154;50865;
m21c12pha1;12;21;acs;1;618;50357;
m21c12pha9;12;21;acs;9;1141;54437;
m29c12pha1;12;29;acs;1;658;51481;
m29c12pha9;12;29;acs;9;1339;57928;
m37c12pha1;12;37;acs;1;698;61133;
m37c12pha9;12;37;acs;9;1485;69571;
m45c12pha1;12;45;acs;1;753;76045;
m45c12pha9;12;45;acs;9;1819;101277;
m13c12pha1;12;13;acs;1;607;46954;
m13c12pha9;12;13;acs;9;1141;51037;
m21c12pha1;12;21;acs;1;574;49102;
m21c12pha9;12;21;acs;9;1233;55266;
m29c12pha1;12;29;acs;1;632;52001;
m29c12pha9;12;29;acs;9;1316;58030;
m37c12pha1;12;37;acs;1;590;61759;
m37c12pha9;12;37;acs;9;1415;68727;
m45c12pha1;12;45;acs;1;752;75835;
m45c12pha9;12;45;acs;9;1649;100880;
m13c12pha1;12;13;acs;1;573;47226;
m13c12pha9;12;13;acs;9;1083;50942;
m21c12pha1;12;21;acs;1;630;50262;
