Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m70c12phh1;12;70;heaters;1;1374;8833;
m70c12phh2;12;70;heaters;2;1471;12230;
m70c12phh3;12;70;heaters;3;1497;13698;
m70c12phh4;12;70;heaters;4;1707;15214;
m70c12phh5;12;70;heaters;5;1725;17286;
m70c12phh6;12;70;heaters;6;1908;17400;
m70c12phh7;12;70;heaters;7;1928;19807;
m70c12phh8;12;70;heaters;8;1984;20640;
m70c12phh9;12;70;heaters;9;2082;22703;
m70c12phh10;12;70;heaters;10;2244;22511;
m70c12phh11;12;70;heaters;11;2309;24414;
m70c12phh12;12;70;heaters;12;2331;26434;
m70c12phh13;12;70;heaters;13;2587;27982;
m70c12phh14;12;70;heaters;14;2568;29657;
m70c12phh15;12;70;heaters;15;2550;31240;
m70c12phh16;12;70;heaters;16;2809;31550;
m70c12phh17;12;70;heaters;17;2766;32004;
m70c12phh18;12;70;heaters;18;2947;34870;
m70c12phh19;12;70;heaters;19;2872;35116;
m70c12phh20;12;70;heaters;20;3275;37384;
m70c12phh21;12;70;heaters;21;3230;38152;
m70c12phh22;12;70;heaters;22;3292;39600;
m70c12phh23;12;70;heaters;23;3199;41769;
m70c12phh24;12;70;heaters;24;3537;40405;
m70c12phh25;12;70;heaters;25;3605;43158;
m70c12phh26;12;70;heaters;26;3584;44596;
m70c12phh27;12;70;heaters;27;3673;44909;
m70c12phh28;12;70;heaters;28;3761;46621;
m70c12phh29;12;70;heaters;29;3731;50293;
m70c12phh30;12;70;heaters;30;4052;50113;
m70c12phh31;12;70;heaters;31;4254;52248;
m70c12phh32;12;70;heaters;32;4414;51920;
m70c12phh33;12;70;heaters;33;4530;54984;
m70c12phh34;12;70;heaters;34;4603;57074;
m70c12phh35;12;70;heaters;35;4660;55892;
m70c12phh36;12;70;heaters;36;4744;56760;
m70c12phh37;12;70;heaters;37;4798;60222;
m70c12phh38;12;70;heaters;38;5036;61500;
m70c12phh39;12;70;heaters;39;5117;62424;
m70c12phh40;12;70;heaters;40;5134;63554;
m70c12phh41;12;70;heaters;41;5289;65538;
m70c12phh42;12;70;heaters;42;5375;67356;
m70c12phh43;12;70;heaters;43;5526;67878;
m70c12phh44;12;70;heaters;44;5703;69853;
m70c12phh45;12;70;heaters;45;5698;71299;
m70c12phh46;12;70;heaters;46;5975;72568;
m70c12phh47;12;70;heaters;47;6400;70933;
m70c12phh48;12;70;heaters;48;5984;70978;
m70c12phh49;12;70;heaters;49;6446;70145;
m70c12phh50;12;70;heaters;50;6459;71497;
m70c12pha1;12;70;acs;1;1637;10176;
m70c12pha2;12;70;acs;2;1967;11896;
m70c12pha3;12;70;acs;3;2218;13360;
m70c12pha4;12;70;acs;4;2537;14561;
m70c12pha5;12;70;acs;5;2633;15189;
m70c12pha6;12;70;acs;6;2652;15618;
m70c12pha7;12;70;acs;7;2700;16881;
m70c12pha8;12;70;acs;8;2905;17138;
m70c12pha9;12;70;acs;9;3052;17625;
m70c12pha10;12;70;acs;10;3215;18385;
m70c12pha11;12;70;acs;11;3432;18972;
