Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m70c1phh50;1;70;heaters;50;6170;116212;
m70c1pha17;1;70;acs;17;4471;85548;
m70c1phw9;1;70;windows;9;2372;33922;
m70c1phd9;1;70;doors;9;2314;33691;
m70c2phh50;2;70;heaters;50;5916;73077;
m70c2pha17;2;70;acs;17;4274;49645;
m70c2phw9;2;70;windows;9;2359;20903;
m70c2phd9;2;70;doors;9;2309;20505;
m70c4phh50;4;70;heaters;50;6010;62115;
m70c4pha17;4;70;acs;17;4340;41521;
m70c4phw9;4;70;windows;9;2376;17622;
m70c4phd9;4;70;doors;9;2337;17450;
m70c6phh50;6;70;heaters;50;5990;51570;
m70c6pha17;6;70;acs;17;4299;31384;
m70c6phw9;6;70;windows;9;2366;14619;
m70c6phd9;6;70;doors;9;2342;13981;
m70c8phh50;8;70;heaters;50;6066;50452;
m70c8pha17;8;70;acs;17;4275;26414;
m70c8phw9;8;70;windows;9;2316;12678;
m70c8phd9;8;70;doors;9;2398;12679;
m70c10phh50;10;70;heaters;50;6161;50608;
m70c10pha17;10;70;acs;17;4345;24143;
m70c10phw9;10;70;windows;9;2343;11902;
m70c10phd9;10;70;doors;9;2368;11773;
m70c12phh50;12;70;heaters;50;6143;51220;
m70c12pha17;12;70;acs;17;4378;22856;
m70c12phw9;12;70;windows;9;2383;11669;
m70c12phd9;12;70;doors;9;2312;11347;
m70c1phh50;1;70;heaters;50;6137;117278;
m70c1pha17;1;70;acs;17;4396;85455;
m70c1phw9;1;70;windows;9;2372;33779;
m70c1phd9;1;70;doors;9;2427;33940;
m70c2phh50;2;70;heaters;50;6096;73433;
m70c2pha17;2;70;acs;17;4408;50369;
m70c2phw9;2;70;windows;9;2373;21181;
m70c2phd9;2;70;doors;9;2382;20772;
m70c4phh50;4;70;heaters;50;6146;62907;
m70c4pha17;4;70;acs;17;4346;41414;
m70c4phw9;4;70;windows;9;2434;17602;
m70c4phd9;4;70;doors;9;2341;17652;
m70c6phh50;6;70;heaters;50;6153;51522;
m70c6pha17;6;70;acs;17;4410;31959;
m70c6phw9;6;70;windows;9;2395;14303;
m70c6phd9;6;70;doors;9;2418;13942;
m70c8phh50;8;70;heaters;50;6112;50299;
m70c8pha17;8;70;acs;17;4425;26761;
m70c8phw9;8;70;windows;9;2383;12767;
m70c8phd9;8;70;doors;9;2358;12610;
m70c10phh50;10;70;heaters;50;6138;51213;
m70c10pha17;10;70;acs;17;4361;23998;
m70c10phw9;10;70;windows;9;2445;12001;
m70c10phd9;10;70;doors;9;2417;11824;
m70c12phh50;12;70;heaters;50;6193;51377;
m70c12pha17;12;70;acs;17;4377;23208;
m70c12phw9;12;70;windows;9;2433;11571;
m70c12phd9;12;70;doors;9;2326;11439;
m70c1phh50;1;70;heaters;50;6151;116715;
m70c1pha17;1;70;acs;17;4389;85319;
m70c1phw9;1;70;windows;9;2376;33702;
m70c1phd9;1;70;doors;9;2350;33735;
m70c2phh50;2;70;heaters;50;6181;73561;
m70c2pha17;2;70;acs;17;4398;49555;
m70c2phw9;2;70;windows;9;2468;20890;
m70c2phd9;2;70;doors;9;2366;20879;
m70c4phh50;4;70;heaters;50;6175;62383;
m70c4pha17;4;70;acs;17;4473;41509;
m70c4phw9;4;70;windows;9;2424;17729;
m70c4phd9;4;70;doors;9;2393;17503;
m70c6phh50;6;70;heaters;50;6090;51863;
m70c6pha17;6;70;acs;17;4441;31862;
m70c6phw9;6;70;windows;9;2414;14405;
m70c6phd9;6;70;doors;9;2480;14145;
m70c8phh50;8;70;heaters;50;6092;51297;
m70c8pha17;8;70;acs;17;4457;27028;
m70c8phw9;8;70;windows;9;2405;12794;
m70c8phd9;8;70;doors;9;2391;12313;
m70c10phh50;10;70;heaters;50;6169;50481;
m70c10pha17;10;70;acs;17;4456;24169;
m70c10phw9;10;70;windows;9;2487;11989;
m70c10phd9;10;70;doors;9;2414;11785;
m70c12phh50;12;70;heaters;50;6209;50144;
m70c12pha17;12;70;acs;17;4486;22980;
m70c12phw9;12;70;windows;9;2425;11613;
m70c12phd9;12;70;doors;9;2410;11529;
m70c1phh50;1;70;heaters;50;6161;117553;
m70c1pha17;1;70;acs;17;4486;85729;
