Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m13c12phd1;12;13;doors;1;525;5863;
m13c12phd5;12;13;doors;5;588;5182;
m13c12phd9;12;13;doors;9;699;5201;
m21c12phd1;12;21;doors;1;566;5742;
m21c12phd5;12;21;doors;5;632;5501;
m21c12phd9;12;21;doors;9;786;5931;
m29c12phd1;12;29;doors;1;603;5841;
m29c12phd5;12;29;doors;5;757;7680;
m29c12phd9;12;29;doors;9;880;7620;
m37c12phd1;12;37;doors;1;621;5039;
m37c12phd5;12;37;doors;5;712;6444;
m37c12phd9;12;37;doors;9;824;7117;
m45c12phd1;12;45;doors;1;761;9015;
m45c12phd5;12;45;doors;5;896;52249;
m45c12phd9;12;45;doors;9;1130;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;862;9516;
m53c12phd5;12;53;doors;5;1044;10342;
m53c12phd9;12;53;doors;9;1303;12375;
m61c12phd1;12;61;doors;1;1050;14592;
m61c12phd5;12;61;doors;5;1308;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1677;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;528;5004;
m13c12phd5;12;13;doors;5;591;5250;
m13c12phd9;12;13;doors;9;670;5412;
m21c12phd1;12;21;doors;1;617;5618;
m21c12phd5;12;21;doors;5;601;5503;
m21c12phd9;12;21;doors;9;816;5652;
m29c12phd1;12;29;doors;1;583;5685;
m29c12phd5;12;29;doors;5;733;7779;
m29c12phd9;12;29;doors;9;880;7567;
m37c12phd1;12;37;doors;1;664;5217;
m37c12phd5;12;37;doors;5;710;6169;
m37c12phd9;12;37;doors;9;819;6959;
m45c12phd1;12;45;doors;1;743;9268;
m45c12phd5;12;45;doors;5;914;52654;
m45c12phd9;12;45;doors;9;1133;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;859;9515;
m53c12phd5;12;53;doors;5;1030;10485;
m53c12phd9;12;53;doors;9;1314;12056;
m61c12phd1;12;61;doors;1;1071;14454;
m61c12phd5;12;61;doors;5;1302;0;Solver: Error: Server error: Internal Server Error
m61c12phd9;12;61;doors;9;1724;0;Solver: Error: Server error: Internal Server Error
m13c12phd1;12;13;doors;1;517;4707;
m13c12phd5;12;13;doors;5;651;5153;
m13c12phd9;12;13;doors;9;770;4949;
m21c12phd1;12;21;doors;1;593;5807;
m21c12phd5;12;21;doors;5;668;5200;
m21c12phd9;12;21;doors;9;740;5804;
m29c12phd1;12;29;doors;1;609;5619;
m29c12phd5;12;29;doors;5;726;7706;
m29c12phd9;12;29;doors;9;917;7982;
m37c12phd1;12;37;doors;1;651;5174;
m37c12phd5;12;37;doors;5;733;6116;
m37c12phd9;12;37;doors;9;869;7026;
m45c12phd1;12;45;doors;1;742;9343;
m45c12phd5;12;45;doors;5;964;53314;
m45c12phd9;12;45;doors;9;1170;0;Solver: Error: Server error: Internal Server Error
m53c12phd1;12;53;doors;1;826;9172;
m53c12phd5;12;53;doors;5;1086;10671;
m53c12phd9;12;53;doors;9;1314;12491;
m61c12phd1;12;61;doors;1;1125;14587;
