Case Name;Cores;Mesh Quality;Phyngs Type;Phyngs Amount;Setup Time, ms;Solving Time, ms;Error
m75c12phh1;12;75;heaters;1;1863;12613;
m75c12phh5;12;75;heaters;5;2244;19777;
m75c12phh10;12;75;heaters;10;2681;26554;
m75c12phh15;12;75;heaters;15;3123;29889;
m75c12phh20;12;75;heaters;20;3600;33406;
m75c12phh25;12;75;heaters;25;4208;38327;
m75c12phh30;12;75;heaters;30;4695;41958;
m75c12phh35;12;75;heaters;35;5491;47426;
m75c12phh40;12;75;heaters;40;5968;53788;
m75c12phh45;12;75;heaters;45;6665;57003;
m75c12phh50;12;75;heaters;50;7361;59783;
m75c12phh1;12;75;heaters;1;1857;12700;
m75c12phh5;12;75;heaters;5;2269;19316;
m75c12phh10;12;75;heaters;10;2658;25055;
m75c12phh15;12;75;heaters;15;3186;29423;
m75c12phh20;12;75;heaters;20;3633;32700;
m75c12phh25;12;75;heaters;25;4176;37338;
m75c12phh30;12;75;heaters;30;4667;41564;
m75c12phh35;12;75;heaters;35;5363;47505;
m75c12phh40;12;75;heaters;40;6108;51668;
m75c12phh45;12;75;heaters;45;6690;57347;
m75c12phh50;12;75;heaters;50;7395;60545;
m75c12phh1;12;75;heaters;1;1882;12734;
m75c12phh5;12;75;heaters;5;2306;19215;
m75c12phh10;12;75;heaters;10;2754;24732;
m75c12phh15;12;75;heaters;15;3083;29535;
m75c12phh20;12;75;heaters;20;3669;32835;
m75c12phh25;12;75;heaters;25;4199;37914;
m75c12phh30;12;75;heaters;30;4719;42465;
m75c12phh35;12;75;heaters;35;5372;48093;
m75c12phh40;12;75;heaters;40;6102;53013;
m75c12phh45;12;75;heaters;45;6706;56256;
m75c12phh50;12;75;heaters;50;7317;60116;
m75c12phh1;12;75;heaters;1;1848;12805;
m75c12phh5;12;75;heaters;5;2307;19645;
m75c12phh10;12;75;heaters;10;2765;24560;
m75c12phh15;12;75;heaters;15;3278;29351;
m75c12phh20;12;75;heaters;20;3780;33517;
m75c12phh25;12;75;heaters;25;4274;37136;
m75c12phh30;12;75;heaters;30;4708;41425;
m75c12phh35;12;75;heaters;35;5377;46639;
m75c12phh40;12;75;heaters;40;6158;52268;
m75c12phh45;12;75;heaters;45;6759;55653;
m75c12phh50;12;75;heaters;50;7336;58841;
m75c12phh1;12;75;heaters;1;1904;12926;
m75c12phh5;12;75;heaters;5;2339;19525;
m75c12phh10;12;75;heaters;10;2814;24980;
m75c12phh15;12;75;heaters;15;3222;29718;
m75c12phh20;12;75;heaters;20;3764;33186;
m75c12phh25;12;75;heaters;25;4271;37997;
m75c12phh30;12;75;heaters;30;4792;41329;
m75c12phh35;12;75;heaters;35;5555;48924;
m75c12phh40;12;75;heaters;40;6154;52003;
m75c12phh45;12;75;heaters;45;6794;56819;
m75c12phh50;12;75;heaters;50;7471;59670;
m53c12phd1;12;53;doors;1;822;9396;
m53c12phd2;12;53;doors;2;929;9954;
m53c12phd3;12;53;doors;3;969;12061;
m53c12phd4;12;53;doors;4;1045;11420;
m53c12phd5;12;53;doors;5;1028;10536;
m53c12phd6;12;53;doors;6;1103;11477;
m53c12phd7;12;53;doors;7;1166;12069;
m53c12phd8;12;53;doors;8;1227;12011;
m53c12phd9;12;53;doors;9;1317;12687;
m53c12phd1;12;53;doors;1;864;9360;
m53c12phd2;12;53;doors;2;905;10399;
m53c12phd3;12;53;doors;3;963;11625;
m53c12phd4;12;53;doors;4;1039;11338;
m53c12phd5;12;53;doors;5;1082;10291;
m53c12phd6;12;53;doors;6;1117;11757;
m53c12phd7;12;53;doors;7;1166;12352;
m53c12phd8;12;53;doors;8;1238;11875;
m53c12phd9;12;53;doors;9;1275;12905;
m53c12phd1;12;53;doors;1;811;9151;
m53c12phd2;12;53;doors;2;919;9989;
m53c12phd3;12;53;doors;3;928;11276;
m53c12phd4;12;53;doors;4;1036;11343;
m53c12phd5;12;53;doors;5;1090;10294;
m53c12phd6;12;53;doors;6;1083;11972;
m53c12phd7;12;53;doors;7;1233;12215;
m53c12phd8;12;53;doors;8;1269;12236;
m53c12phd9;12;53;doors;9;1282;12355;
m53c12phd1;12;53;doors;1;860;9114;
m53c12phd2;12;53;doors;2;861;9964;
m53c12phd3;12;53;doors;3;940;11936;
m53c12phd4;12;53;doors;4;1052;11201;
m53c12phd5;12;53;doors;5;1028;10587;
m53c12phd6;12;53;doors;6;1075;11467;
m53c12phd7;12;53;doors;7;1174;12083;
m53c12phd8;12;53;doors;8;1260;12247;
m53c12phd9;12;53;doors;9;1303;12437;
m53c12phd1;12;53;doors;1;860;9372;
m53c12phd2;12;53;doors;2;924;10016;
m53c12phd3;12;53;doors;3;980;11258;
m53c12phd4;12;53;doors;4;1060;11018;
m53c12phd5;12;53;doors;5;1081;10407;
m53c12phd6;12;53;doors;6;1091;11815;
m53c12phd7;12;53;doors;7;1150;12237;
m53c12phd8;12;53;doors;8;1235;11938;
m53c12phd9;12;53;doors;9;1293;12836;
m61c12phw1;12;61;windows;1;913;16519;
m61c12phw2;12;61;windows;2;1078;33571;
m61c12phw3;12;61;windows;3;1113;43835;
m61c12phw4;12;61;windows;4;1256;53819;
m61c12phw5;12;61;windows;5;1300;50742;
m61c12phw6;12;61;windows;6;1365;54516;
m61c12phw7;12;61;windows;7;1439;58405;
m61c12phw8;12;61;windows;8;1559;64851;
m61c12phw9;12;61;windows;9;1577;62785;
m61c12phw1;12;61;windows;1;966;16753;
m61c12phw2;12;61;windows;2;1062;34487;
m61c12phw3;12;61;windows;3;1124;45279;
m61c12phw4;12;61;windows;4;1254;54812;
m61c12phw5;12;61;windows;5;1299;51569;
m61c12phw6;12;61;windows;6;1357;55377;
m61c12phw7;12;61;windows;7;1455;57766;
m61c12phw8;12;61;windows;8;1556;65230;
m61c12phw9;12;61;windows;9;1624;63360;
m61c12phw1;12;61;windows;1;941;16592;
m61c12phw2;12;61;windows;2;1082;33612;
m61c12phw3;12;61;windows;3;1097;44900;
m61c12phw4;12;61;windows;4;1221;54587;
m61c12phw5;12;61;windows;5;1293;50877;
m61c12phw6;12;61;windows;6;1326;54841;
m61c12phw7;12;61;windows;7;1439;57933;
m61c12phw8;12;61;windows;8;1548;66835;
m61c12phw9;12;61;windows;9;1629;64296;
m61c12phw1;12;61;windows;1;930;16718;
m61c12phw2;12;61;windows;2;1051;33351;
m61c12phw3;12;61;windows;3;1159;44228;
m61c12phw4;12;61;windows;4;1220;54225;
m61c12phw5;12;61;windows;5;1351;51494;
m61c12phw6;12;61;windows;6;1344;55663;
m61c12phw7;12;61;windows;7;1462;57349;
m61c12phw8;12;61;windows;8;1505;64492;
m61c12phw9;12;61;windows;9;1608;62855;
m61c12phw1;12;61;windows;1;985;16678;
m61c12phw2;12;61;windows;2;1077;33974;
m61c12phw3;12;61;windows;3;1172;44313;
m61c12phw4;12;61;windows;4;1203;53853;
m61c12phw5;12;61;windows;5;1267;50894;
m61c12phw6;12;61;windows;6;1356;54839;
m61c12phw7;12;61;windows;7;1512;58853;
m61c12phw8;12;61;windows;8;1543;65811;
m61c12phw9;12;61;windows;9;1612;62702;
m21c12pha1;12;21;acs;1;572;35314;
m21c12pha2;12;21;acs;2;607;36706;
m21c12pha3;12;21;acs;3;670;41130;
m21c12pha4;12;21;acs;4;770;38792;
m21c12pha5;12;21;acs;5;785;41089;
m21c12pha6;12;21;acs;6;851;39830;
m21c12pha7;12;21;acs;7;869;44179;
m21c12pha8;12;21;acs;8;958;45694;
m21c12pha9;12;21;acs;9;1042;45787;
m21c12pha1;12;21;acs;1;561;35037;
m21c12pha2;12;21;acs;2;615;36101;
m21c12pha3;12;21;acs;3;644;41426;
m21c12pha4;12;21;acs;4;703;39205;
m21c12pha5;12;21;acs;5;821;41127;
m21c12pha6;12;21;acs;6;908;40678;
m21c12pha7;12;21;acs;7;963;43209;
m21c12pha8;12;21;acs;8;1016;45901;
m21c12pha9;12;21;acs;9;1118;45850;
m21c12pha1;12;21;acs;1;570;35646;
m21c12pha2;12;21;acs;2;629;35410;
m21c12pha3;12;21;acs;3;671;40481;
m21c12pha4;12;21;acs;4;716;38684;
m21c12pha5;12;21;acs;5;821;41558;
m21c12pha6;12;21;acs;6;893;41368;
m21c12pha7;12;21;acs;7;919;43408;
m21c12pha8;12;21;acs;8;959;46922;
m21c12pha9;12;21;acs;9;1049;46134;
m21c12pha1;12;21;acs;1;572;34964;
m21c12pha2;12;21;acs;2;609;37259;
m21c12pha3;12;21;acs;3;679;41190;
m21c12pha4;12;21;acs;4;760;38774;
m21c12pha5;12;21;acs;5;845;39905;
m21c12pha6;12;21;acs;6;926;41057;
m21c12pha7;12;21;acs;7;958;44478;
m21c12pha8;12;21;acs;8;945;45202;
m21c12pha9;12;21;acs;9;1028;45155;
m21c12pha1;12;21;acs;1;535;35041;
m21c12pha2;12;21;acs;2;662;35895;
m21c12pha3;12;21;acs;3;640;40278;
m21c12pha4;12;21;acs;4;707;40124;
m21c12pha5;12;21;acs;5;811;40262;
m21c12pha6;12;21;acs;6;902;41486;
m21c12pha7;12;21;acs;7;930;43548;
m21c12pha8;12;21;acs;8;968;45607;
m21c12pha9;12;21;acs;9;1075;45684;
